EZABPQM;Tranche_Debut;Tranche_Fin;Mnémo;Territoire;Date_Attribution
105;105000000;105999999;FRTE;Métropole;01/01/2017
1241;124100000;124199999;FRTE;Métropole;01/01/2017
1242;124200000;124299999;FRTE;Métropole;01/01/2017
130;130000000;130999999;FRTE;Métropole;01/01/2017
134;134000000;134999999;FRTE;Métropole;01/01/2017
139;139000000;139999999;FRTE;Métropole;01/01/2017
140;140000000;140999999;FRTE;Métropole;01/01/2017
141;141000000;141999999;FRTE;Métropole;01/01/2017
142;142000000;142999999;FRTE;Métropole;01/01/2017
143;143000000;143999999;FRTE;Métropole;01/01/2017
144;144000000;144999999;FRTE;Métropole;01/01/2017
145;145000000;145999999;FRTE;Métropole;01/01/2017
146;146000000;146999999;FRTE;Métropole;01/01/2017
147;147000000;147999999;FRTE;Métropole;01/01/2017
1480;148000000;148099999;FRTE;Métropole;01/01/2017
14810;148100000;148109999;FRTE;Métropole;01/01/2017
14811;148110000;148119999;FRTE;Métropole;01/01/2017
14812;148120000;148129999;FRTE;Métropole;01/01/2017
14813;148130000;148139999;FRTE;Métropole;01/01/2017
14814;148140000;148149999;FRTE;Métropole;01/01/2017
14815;148150000;148159999;FRTE;Métropole;01/01/2017
14816;148160000;148169999;HUBT;Métropole;27/07/2001
14817;148170000;148179999;FRTE;Métropole;01/01/2017
14818;148180000;148189999;FRTE;Métropole;01/01/2017
14819;148190000;148199999;FRTE;Métropole;01/01/2017
1482;148200000;148299999;FRTE;Métropole;01/01/2017
1483;148300000;148399999;FRTE;Métropole;01/01/2017
1484;148400000;148499999;FRTE;Métropole;01/01/2017
1485;148500000;148599999;FRTE;Métropole;01/01/2017
14860;148600000;148609999;FRTE;Métropole;01/01/2017
14861;148610000;148619999;FRTE;Métropole;01/01/2017
14862;148620000;148629999;HUBT;Métropole;27/07/2001
14863;148630000;148639999;FRTE;Métropole;01/01/2017
14864;148640000;148649999;HUBT;Métropole;27/07/2001
14865;148650000;148659999;FRTE;Métropole;01/01/2017
14866;148660000;148669999;FRTE;Métropole;01/01/2017
14867;148670000;148679999;FRTE;Métropole;01/01/2017
14868;148680000;148689999;FRTE;Métropole;01/01/2017
14869;148690000;148699999;FRTE;Métropole;01/01/2017
1487;148700000;148799999;FRTE;Métropole;01/01/2017
1488;148800000;148899999;FRTE;Métropole;01/01/2017
1489;148900000;148999999;FRTE;Métropole;01/01/2017
1490;149000000;149099999;FRTE;Métropole;01/01/2017
1491;149100000;149199999;FRTE;Métropole;01/01/2017
1492;149200000;149299999;FRTE;Métropole;01/01/2017
1493;149300000;149399999;FRTE;Métropole;01/01/2017
1494;149400000;149499999;FRTE;Métropole;01/01/2017
1495;149500000;149599999;FRTE;Métropole;01/01/2017
1496;149600000;149699999;FRTE;Métropole;01/01/2017
14970;149700000;149709999;FRTE;Métropole;01/01/2017
14971;149710000;149719999;FRTE;Métropole;01/01/2017
14972;149720000;149729999;FRTE;Métropole;01/01/2017
14973;149730000;149739999;FRTE;Métropole;01/01/2017
14974;149740000;149749999;FRTE;Métropole;01/01/2017
14975;149750000;149759999;HUBT;Métropole;27/07/2001
14976;149760000;149769999;FRTE;Métropole;01/01/2017
14977;149770000;149779999;FRTE;Métropole;01/01/2017
14978;149780000;149789999;FRTE;Métropole;01/01/2017
14979;149790000;149799999;FRTE;Métropole;01/01/2017
1498;149800000;149899999;FRTE;Métropole;01/01/2017
1499;149900000;149999999;FRTE;Métropole;01/01/2017
150;150000000;150999999;FRTE;Métropole;01/01/2017
153;153000000;153999999;FRTE;Métropole;01/01/2017
155;155000000;155999999;FRTE;Métropole;01/01/2017
156;156000000;156999999;FRTE;Métropole;01/01/2017
157;157000000;157999999;FRTE;Métropole;01/01/2017
158;158000000;158999999;FRTE;Métropole;01/01/2017
15900;159000000;159009999;RCFR;Métropole;07/09/2022
159010;159010000;159010999;REDM;Métropole;26/09/2022
159011;159011000;159011999;REDM;Métropole;26/09/2022
159012;159012000;159012999;REDM;Métropole;26/09/2022
159013;159013000;159013999;REDM;Métropole;26/09/2022
159014;159014000;159014999;REDM;Métropole;26/09/2022
159015;159015000;159015999;REDM;Métropole;26/09/2022
159016;159016000;159016999;REDM;Métropole;26/09/2022
159017;159017000;159017999;REDM;Métropole;26/09/2022
159018;159018000;159018999;REDM;Métropole;26/09/2022
159019;159019000;159019999;REDM;Métropole;26/09/2022
15902;159020000;159029999;PURE;Métropole;03/10/2022
15903;159030000;159039999;MSIO;Métropole;05/10/2022
159050;159050000;159050999;ELOQ;Métropole;19/10/2022
159051;159051000;159051999;ELOQ;Métropole;19/10/2022
159052;159052000;159052999;ELOQ;Métropole;19/10/2022
159053;159053000;159053999;ELOQ;Métropole;19/10/2022
159054;159054000;159054999;ELOQ;Métropole;19/10/2022
159055;159055000;159055999;ELOQ;Métropole;19/10/2022
159056;159056000;159056999;ELOQ;Métropole;19/10/2022
159057;159057000;159057999;ELOQ;Métropole;19/10/2022
159058;159058000;159058999;ELOQ;Métropole;19/10/2022
159059;159059000;159059999;ELOQ;Métropole;19/10/2022
15906;159060000;159069999;GGCF;Métropole;28/07/2023
15907;159070000;159079999;TLCZ;Métropole;19/10/2022
15908;159080000;159089999;NFFR;Métropole;19/10/2022
15909;159090000;159099999;CMSU;Métropole;25/10/2022
15910;159100000;159109999;VOCA;Métropole;28/11/2022
15911;159110000;159119999;STEL;Métropole;09/12/2022
15912;159120000;159129999;GTTI;Métropole;17/11/2022
15913;159130000;159139999;TWIL;Métropole;09/12/2022
15914;159140000;159149999;VOIC;Métropole;09/12/2022
15915;159150000;159159999;ABCL;Métropole;12/12/2022
15916;159160000;159169999;4CLL;Métropole;13/12/2022
15917;159170000;159179999;EXCE;Métropole;13/12/2022
15918;159180000;159189999;CLTL;Métropole;19/12/2022
15919;159190000;159199999;CLLK;Métropole;20/12/2022
15920;159200000;159209999;BICS;Métropole;21/12/2022
15921;159210000;159219999;WRDL;Métropole;22/12/2022
15922;159220000;159229999;IBRO;Métropole;22/12/2022
15923;159230000;159239999;DIME;Métropole;23/12/2022
15924;159240000;159249999;AWSS;Métropole;26/12/2022
15925;159250000;159259999;NUWA;Métropole;01/01/2023
159260;159260000;159260999;MKTO;Métropole;01/01/2023
15927;159270000;159279999;CMTF;Métropole;01/01/2023
15928;159280000;159289999;BJTP;Métropole;09/01/2023
15929;159290000;159299999;BJTP;Métropole;09/01/2023
15930;159300000;159309999;ALCC;Métropole;18/01/2023
15931;159310000;159319999;OXIL;Métropole;23/01/2023
159320;159320000;159320999;ONCN;Métropole;23/01/2023
15933;159330000;159339999;ATTG;Métropole;23/01/2023
15934;159340000;159349999;MASS;Métropole;30/01/2023
15935;159350000;159359999;GGCF;Métropole;28/07/2023
15936;159360000;159369999;EQUA;Métropole;02/02/2023
15937;159370000;159379999;NWOT;Métropole;08/02/2023
15938;159380000;159389999;DYCL;Métropole;22/02/2023
15939;159390000;159399999;QWLK;Métropole;23/02/2023
159400;159400000;159400999;WLLT;Métropole;24/02/2023
15941;159410000;159419999;OPHO;Métropole;28/02/2023
15942;159420000;159429999;VPED;Métropole;15/03/2023
15943;159430000;159439999;FVE9;Métropole;16/03/2023
15944;159440000;159449999;RCFR;Métropole;16/03/2023
15945;159450000;159459999;SAFE;Métropole;17/03/2023
15946;159460000;159469999;EASY;Métropole;20/03/2023
15947;159470000;159479999;TRIN;Métropole;28/03/2023
15948;159480000;159489999;OPCM;Métropole;11/04/2023
15949;159490000;159499999;CLTE;Métropole;19/04/2023
159500;159500000;159500999;NICE;Métropole;27/04/2023
15951;159510000;159519999;OOMI;Métropole;04/05/2023
15952;159520000;159529999;TSOD;Métropole;16/05/2023
159530;159530000;159530999;MIXW;Métropole;04/03/2024
159531;159531000;159531999;EISS;Métropole;05/03/2024
159535;159535000;159535999;INPC;Métropole;16/05/2023
159536;159536000;159536999;RUBT;Métropole;13/02/2024
159537;159537000;159537999;GPAM;Métropole;13/02/2024
159538;159538000;159538999;GPAM;Métropole;13/02/2024
159539;159539000;159539999;TVIA;Métropole;26/02/2024
159540;159540000;159540999;J2CP;Métropole;17/05/2023
15955;159550000;159559999;HERA;Métropole;26/05/2023
15956;159560000;159569999;ASKS;Métropole;06/06/2023
15957;159570000;159579999;THEC;Métropole;19/06/2023
159580;159580000;159580999;GPCO;Métropole;01/07/2023
159581;159581000;159581999;DGIS;Métropole;01/07/2023
159582;159582000;159582999;SDCI;Métropole;01/07/2023
159583;159583000;159583999;EOLY;Métropole;13/07/2023
159584;159584000;159584999;HETE;Métropole;24/07/2023
160;160000000;160999999;FRTE;Métropole;01/01/2017
161;161000000;161999999;FRTE;Métropole;01/01/2017
16200;162000000;162009999;LGC;Métropole;21/01/2021
16201;162010000;162019999;DIAB;Métropole;01/01/2023
16202;162020000;162029999;PLUG;Métropole;01/01/2023
16203;162030000;162039999;COLT;Métropole;01/01/2023
16204;162040000;162049999;TLST;Métropole;01/01/2023
16205;162050000;162059999;SPCV;Métropole;01/01/2023
16206;162060000;162069999;BOUY;Métropole;01/01/2023
16207;162070000;162079999;BOUY;Métropole;01/01/2023
16208;162080000;162089999;IAGI;Métropole;01/01/2023
16209;162090000;162099999;CYDS;Métropole;01/01/2023
162109;162109000;162109999;ABHT;Métropole;01/01/2023
16211;162110000;162119999;YOOT;Métropole;01/01/2023
16212;162120000;162129999;FREE;Métropole;01/01/2023
16213;162130000;162139999;SFR0;Métropole;01/01/2023
16214;162140000;162149999;GETG;Métropole;01/01/2023
16215;162150000;162159999;VAST;Métropole;01/01/2023
16216;162160000;162169999;SDCI;Métropole;01/01/2023
16217;162170000;162179999;PHGS;Métropole;01/01/2023
16218;162180000;162189999;THEC;Métropole;01/01/2023
16219;162190000;162199999;SPAR;Métropole;01/01/2023
16220;162200000;162209999;OXIL;Métropole;01/01/2023
16221;162210000;162219999;COCR;Métropole;01/01/2023
16222;162220000;162229999;EVMI;Métropole;01/01/2023
16223;162230000;162239999;FRTE;Métropole;01/01/2023
16224;162240000;162249999;DVSC;Métropole;12/01/2023
16225;162250000;162259999;VOIM;Métropole;12/06/2024
162260;162260000;162260999;MKTO;Métropole;12/01/2023
162261;162261000;162261999;MKTO;Métropole;12/01/2023
16227;162270000;162279999;ODIG;Métropole;18/01/2023
16228;162280000;162289999;DCID;Métropole;19/01/2023
16229;162290000;162299999;JAG;Métropole;20/01/2023
16230;162300000;162309999;KAVE;Métropole;20/01/2023
16231;162310000;162319999;EONE;Métropole;23/01/2023
